name,source_tier,rank,symbol,timeframe_label,direction,category,sharpe,profit_factor,win_rate,trades,max_dd,oos_sharpe,sl,tp,entry_pseudo,exit_pseudo,likely_test_artifact
RSI-Short-Reversion,LEGEND,LEGEND,USDJPY,M1,BOTH,TREND,-5.6032176,0.56958055,0.44022536,508987,0.4894269,0.0,0.15,0.2,RSI-5 crosses above 20,RSI-5 > 80,False
RSI-Stoch-Reversal,LEGEND,LEGEND,USDJPY,H4,BOTH,TREND,0.017537234,1.0083443,0.47340736,3422,0.003825087,0.0,0.25,0.5,(RSI-14 < 30 AND STOCH-K < 20),(RSI-14 > 70 OR STOCH-K > 80),False
RSI-Trend-Shift,LEGEND,LEGEND,USDJPY,M1,BOTH,TREND,-5.529775,0.5678249,0.43874314,496532,0.4745548,0.0,0.2,0.4,RSI-14 crosses above 50,RSI-14 crosses below 40,False
RSI-Volatility-Break,LEGEND,LEGEND,USDJPY,H4,BOTH,TREND,0.017537234,1.0083443,0.47340736,3422,0.003825087,0.0,0.25,0.5,RSI-14 crosses above 60,RSI-14 crosses below 40,False
Scalp-Cross-5-12,LEGEND,LEGEND,USDJPY,M1,BOTH,TREND,-5.531317,0.55158484,0.27510032,707491,0.73261493,0.0,0.1,0.15,EMA-5 crosses above EMA-12,EMA-5 crosses below EMA-12,False
Session-Breakout-Proxy,LEGEND,LEGEND,USDJPY,M1,BOTH,TREND,-5.4543257,0.5634053,0.27532506,623779,0.66023123,0.0,0.2,0.4,(CLOSE crosses above SMA-5 AND ATR-14 > 0.0015),CLOSE crosses below SMA-5,False
Silver-Cross-20-100,LEGEND,LEGEND,USDJPY,M1,BOTH,TREND,-1.7249454,0.8079971,0.2865274,104360,0.09538205,0.0,0.4,0.8,SMA-20 crosses above SMA-100,SMA-20 crosses below SMA-100,False
Simple-Momentum-Sync,LEGEND,LEGEND,USDJPY,M30,BOTH,TREND,0.2651474,1.1059555,0.37602317,5864,0.0015055304,0.0,0.3,0.6,(CLOSE > EMA-50 AND RSI-14 > 55),RSI-14 < 45,False
Stoch-Extreme-Dip,LEGEND,LEGEND,USDJPY,D1,BOTH,TREND,-0.025047444,0.9741123,0.44398344,723,0.0023385617,0.0,0.15,0.3,STOCH-K crosses above 10,STOCH-K > 90,False
Stoch-Momentum-Cross,LEGEND,LEGEND,USDJPY,D1,BOTH,TREND,-0.03132791,0.9680844,0.46573424,715,0.0023989424,0.0,0.2,0.3,(STOCH-K crosses above STOCH-D AND STOCH-K > 50),STOCH-K crosses below STOCH-D,False
Stoch-Overbought-Entry,LEGEND,LEGEND,USDJPY,D1,BOTH,TREND,-0.028509937,0.97106403,0.45378152,714,0.0026088378,0.0,0.2,0.4,(STOCH-K > 80 AND STOCH-K crosses below STOCH-D),STOCH-K < 20,False
Stoch-Oversold-Entry,LEGEND,LEGEND,USDJPY,D1,BOTH,TREND,-0.028509937,0.97106403,0.45378152,714,0.0026088378,0.0,0.2,0.4,(STOCH-K < 20 AND STOCH-K crosses above STOCH-D),STOCH-K > 80,False
Stoch-Pop,LEGEND,LEGEND,USDJPY,D1,BOTH,TREND,-0.00024389218,0.9996485,0.46611345,723,0.0018851596,0.0,0.15,0.25,STOCH-K crosses above 50,STOCH-K crosses below 50,False
